pointA,pointB,distance
"(42.34848825, -71.10792453810609)","(42.3364039, -71.07223994070816)",3712.2059999999988
"(42.34848825, -71.10792453810609)","(42.3522233, -71.11773001441316)",1093.2510000000002
"(42.34848825, -71.10792453810609)","(42.335202, -71.06984300654784)",3968.3259999999987
"(42.34848825, -71.10792453810609)","(42.354296250000004, -71.12122556854106)",1630.1780000000003
"(42.34848825, -71.10792453810609)","(42.3485174, -71.0993601)",1086.849
"(42.34848825, -71.10792453810609)","(42.34865105, -71.10126530464467)",725.78
"(42.34848825, -71.10792453810609)","(42.348208549999995, -71.10116164185519)",696.065
"(42.34848825, -71.10792453810609)","(42.3502728, -71.1055321)",384.34700000000004
"(42.34848825, -71.10792453810609)","(42.3500229, -71.10311127482268)",534.8889999999999
"(42.34848825, -71.10792453810609)","(42.351293600000005, -71.11387671441952)",656.604
"(42.34848825, -71.10792453810609)","(42.351481699999994, -71.1145903356746)",712.3549999999999
"(42.34848825, -71.10792453810609)","(42.3508071, -71.1161896)",786.543
"(42.34848825, -71.10792453810609)","(42.3481453, -71.0986357601812)",829.155
"(42.34848825, -71.10792453810609)","(42.3489018, -71.1023218)",610.727
"(42.34848825, -71.10792453810609)","(42.3532496, -71.10777000756758)",945.3589999999999
"(42.34848825, -71.10792453810609)","(42.3539611, -71.1203527)",1476.6460000000002
"(42.34848825, -71.10792453810609)","(42.33302405, -71.07351342066596)",3793.4399999999987
"(42.34848825, -71.10792453810609)","(42.350582900000006, -71.10413120618469)",674.981
"(42.34848825, -71.10792453810609)","(42.3505035, -71.09985850000001)",874.6469999999998
"(42.34848825, -71.10792453810609)","(42.34972105, -71.10750259091596)",327.86400000000003
"(42.34848825, -71.10792453810609)","(42.34936675, -71.1072935998869)",192.871
"(42.34848825, -71.10792453810609)","(42.349106, -71.105177)",336.945
"(42.34848825, -71.10792453810609)","(42.3507339, -71.115618)",762.463
"(42.34848825, -71.10792453810609)","(42.3497962, -71.10803121297329)",404.26200000000006
"(42.34848825, -71.10792453810609)","(42.348654350000004, -71.10350846676505)",517.9739999999999
"(42.34848825, -71.10792453810609)","(42.34854035, -71.10284565282228)",517.9739999999999
"(42.34848825, -71.10792453810609)","(42.341954799999996, -71.10605008798282)",1081.048
"(42.34848825, -71.10792453810609)","(42.342699749999994, -71.10489130168085)",915.342
"(42.34848825, -71.10792453810609)","(42.342985150000004, -71.10519520944966)",886.843
"(42.34848825, -71.10792453810609)","(42.35013155, -71.11140104490026)",387.32
"(42.34848825, -71.10792453810609)","(42.34945635, -71.105266656638)",412.6170000000001
"(42.34848825, -71.10792453810609)","(42.342504399999996, -71.10536300402536)",980.756
"(42.34848825, -71.10792453810609)","(42.3518204, -71.11646235858747)",949.0150000000001
"(42.34848825, -71.10792453810609)","(42.350170399999996, -71.095114)",1204.9879999999998
"(42.34848825, -71.10792453810609)","(42.336374750000004, -71.07016239901102)",3787.728999999999
"(42.34848825, -71.10792453810609)","(42.35028335, -71.10557727131746)",354.22700000000003
"(42.34848825, -71.10792453810609)","(42.35097115000001, -71.10897900447887)",490.73599999999993
"(42.34848825, -71.10792453810609)","(42.349639749999994, -71.09973226925189)",857.8709999999999
"(42.34848825, -71.10792453810609)","(42.3437927, -71.10976791168142)",901.296
"(42.34848825, -71.10792453810609)","(42.3504456, -71.10368611901973)",593.405
"(42.34848825, -71.10792453810609)","(42.3501426, -71.10067825702964)",846.4889999999999
"(42.34848825, -71.10792453810609)","(42.350104849999994, -71.10058154558558)",846.4889999999999
"(42.34848825, -71.10792453810609)","(42.35052185, -71.10009615151182)",874.6469999999998
"(42.34848825, -71.10792453810609)","(42.349457799999996, -71.09810497506007)",971.175
"(42.34848825, -71.10792453810609)","(42.3503203, -71.09700303119664)",1089.1390000000001
"(42.34848825, -71.10792453810609)","(42.351064300000004, -71.1075071069339)",488.92300000000006
"(42.34848825, -71.10792453810609)","(42.350860850000004, -71.10386660061369)",651.594
"(42.34848825, -71.10792453810609)","(42.3495087, -71.10580869890427)",321.238
"(42.34848825, -71.10792453810609)","(42.3483358, -71.10173878356534)",627.161
"(42.34848825, -71.10792453810609)","(42.35066235, -71.1064382921208)",643.5980000000001
"(42.34848825, -71.10792453810609)","(42.349090849999996, -71.1041455900759)",470.711
"(42.34848825, -71.10792453810609)","(42.335479649999996, -71.0717193943673)",3862.0349999999994
"(42.34848825, -71.10792453810609)","(42.3514835, -71.1212481)",1227.927
"(42.34848825, -71.10792453810609)","(42.3489751, -71.1009021)",724.7260000000001
"(42.34848825, -71.10792453810609)","(42.3509964, -71.10799517909709)",488.92300000000006
"(42.34848825, -71.10792453810609)","(42.3496881, -71.1001848)",817.3389999999999
"(42.34848825, -71.10792453810609)","(42.3491905, -71.1060852)",196.662
"(42.34848825, -71.10792453810609)","(42.3505083, -71.1039114501441)",593.405
"(42.34848825, -71.10792453810609)","(42.34877175, -71.10419840251558)",907.497
"(42.34848825, -71.10792453810609)","(42.3517837, -71.1187216)",1059.6860000000004
"(42.34848825, -71.10792453810609)","(42.35051115, -71.09995235)",874.6469999999998
"(42.34848825, -71.10792453810609)","(42.3490585, -71.10153394404658)",643.289
"(42.34848825, -71.10792453810609)","(42.3510171, -71.10981338167903)",422.878
"(42.34848825, -71.10792453810609)","(42.3520335, -71.11030686731542)",535.073
"(42.34848825, -71.10792453810609)","(42.3498642, -71.1020204)",626.9459999999998
"(42.34848825, -71.10792453810609)","(42.348448899999994, -71.10015580728992)",790.575
"(42.34848825, -71.10792453810609)","(42.3508802, -71.11750772346343)",943.2420000000001
"(42.34848825, -71.10792453810609)","(42.3484364, -71.10230804217932)",627.161
"(42.34848825, -71.10792453810609)","(42.34888825, -71.10484432143394)",907.497
"(42.34848825, -71.10792453810609)","(42.35078225, -71.10524017370268)",725.0180000000001
"(42.34848825, -71.10792453810609)","(42.3505236, -71.10754495805156)",467.17400000000004
"(42.34848825, -71.10792453810609)","(42.3501003, -71.10383756091035)",508.62199999999996
"(42.34848825, -71.10792453810609)","(42.351051050235355, -71.1137959187151)",656.604
"(42.34848825, -71.10792453810609)","(42.35455655, -71.12354972039716)",1675.7140000000006
"(42.34848825, -71.10792453810609)","(42.3497494, -71.10134870499787)",749.4729999999998
"(42.34848825, -71.10792453810609)","(42.34972315, -71.10086607545841)",763.741
"(42.34848825, -71.10792453810609)","(42.3360176, -71.0694751)",3860.2119999999995
"(42.34848825, -71.10792453810609)","(42.3497874, -71.09794138426676)",1025.848
"(42.3364039, -71.07223994070816)","(42.3522233, -71.11773001441316)",4630.370000000003
"(42.3364039, -71.07223994070816)","(42.335202, -71.06984300654784)",423.92600000000004
"(42.3364039, -71.07223994070816)","(42.354296250000004, -71.12122556854106)",5167.297000000002
"(42.3364039, -71.07223994070816)","(42.3485174, -71.0993601)",2962.2180000000003
"(42.3364039, -71.07223994070816)","(42.34865105, -71.10126530464467)",3132.2490000000003
"(42.3364039, -71.07223994070816)","(42.348208549999995, -71.10116164185519)",3129.636
"(42.3364039, -71.07223994070816)","(42.3502728, -71.1055321)",3506.524
"(42.3364039, -71.07223994070816)","(42.3500229, -71.10311127482268)",3336.612
"(42.3364039, -71.07223994070816)","(42.351293600000005, -71.11387671441952)",4191.369000000002
"(42.3364039, -71.07223994070816)","(42.351481699999994, -71.1145903356746)",4257.661000000002
"(42.3364039, -71.07223994070816)","(42.3508071, -71.1161896)",4347.861
"(42.3364039, -71.07223994070816)","(42.3481453, -71.0986357601812)",2886.4739999999997
"(42.3364039, -71.07223994070816)","(42.3489018, -71.1023218)",3254.342
