abbreviationA,abbreviationB,distance
AAS,ABG,3712.2059999999988
AAS,AGG,1093.2510000000002
AAS,ALB,3968.3259999999987
AAS,ASC,1630.1780000000003
AAS,BAB,1630.1780000000003
AAS,BCN,1086.849
AAS,BRB,725.78
AAS,BSC,696.065
AAS,CAS,384.34700000000004
AAS,CDS,534.8889999999999
AAS,CFA,656.604
AAS,CGS,712.3549999999999
AAS,CLN,786.543
AAS,CNS,829.155
AAS,COM,610.727
AAS,CRW,945.3589999999999
AAS,CSE,1476.6460000000002
AAS,CTC,3793.4399999999987
AAS,EGL,674.981
AAS,EIB,874.6469999999998
AAS,EIL,1476.6460000000002
AAS,EMA,327.86400000000003
AAS,EMB,192.871
AAS,ENG,336.945
AAS,EOP,762.463
AAS,EPC,404.26200000000006
AAS,ERA,517.9739999999999
AAS,ERB,517.9739999999999
AAS,EVN,3712.2059999999988
AAS,FAB,1081.048
AAS,FCB,915.342
AAS,FCC,886.843
AAS,FLR,387.32
AAS,FOB,412.6170000000001
AAS,FPH,980.756
AAS,FRC,949.0150000000001
AAS,GDP,1204.9879999999998
AAS,GDS,3787.728999999999
AAS,GMS,3712.2059999999988
AAS,GRS,354.22700000000003
AAS,GSU,490.73599999999993
AAS,HAR,857.8709999999999
AAS,HAW,901.296
AAS,HIS,593.405
AAS,HOU,3712.2059999999988
AAS,IEC,762.463
AAS,INS,3712.2059999999988
AAS,IRB,846.4889999999999
AAS,IRC,846.4889999999999
AAS,JSC,874.6469999999998
AAS,KCB,971.175
AAS,KHC,1089.1390000000001
AAS,LAW,488.92300000000006
AAS,LEV,651.594
AAS,LNG,321.238
AAS,LSE,627.161
AAS,MCH,643.5980000000001
AAS,MCS,470.711
AAS,MED,3862.0349999999994
AAS,MET,1227.927
AAS,MOR,724.7260000000001
AAS,MUG,488.92300000000006
AAS,OSW,817.3389999999999
AAS,PDP,949.0150000000001
AAS,PHO,196.662
AAS,PLS,593.405
AAS,PRB,725.78
AAS,PSY,907.497
AAS,PTH,1059.6860000000004
AAS,REL,874.6469999999998
AAS,RKC,643.289
AAS,SAC,422.878
AAS,SAL,535.073
AAS,SAR,626.9459999999998
AAS,SCI,790.575
AAS,SDM,3787.728999999999
AAS,SHA,943.2420000000001
AAS,SLB,627.161
AAS,SOC,907.497
AAS,SPH,3862.0349999999994
AAS,SSW,725.0180000000001
AAS,STH,467.17400000000004
AAS,STO,508.62199999999996
AAS,THA,656.604
AAS,TTC,1675.7140000000006
AAS,WEA,749.4729999999998
AAS,WED,763.741
AAS,XBG,3860.2119999999995
AAS,YAW,1025.848
ABG,AGG,4630.370000000003
ABG,ALB,423.92600000000004
ABG,ASC,5167.297000000002
ABG,BAB,5167.297000000002
ABG,BCN,2962.2180000000003
ABG,BRB,3132.2490000000003
ABG,BSC,3129.636
ABG,CAS,3506.524
ABG,CDS,3336.612
ABG,CFA,4191.369000000002
ABG,CGS,4257.661000000002
ABG,CLN,4347.861
ABG,CNS,2886.4739999999997
ABG,COM,3254.342
ABG,CRW,4435.441000000001
ABG,CSE,5013.765000000002
ABG,CTC,551.4460000000001
ABG,EGL,3487.324
ABG,EIB,3137.157
ABG,EIL,5013.765000000002
ABG,EMA,3660.8310000000015
ABG,EMB,3612.900999999999
ABG,ENG,3497.449
ABG,EOP,4323.780999999999
ABG,EPC,3849.9279999999985
ABG,ERA,3316.42
ABG,ERB,3316.42
ABG,EVN,0.0
ABG,FAB,3499.7580000000007
ABG,FCB,3334.5010000000007
ABG,FCC,3430.7960000000007
ABG,FLR,3981.7949999999987
ABG,FOB,3472.262999999999
ABG,FPH,3411.8080000000004
ABG,FRC,4483.7800000000025
ABG,GDP,2722.6620000000003
ABG,GDS,264.305
ABG,GMS,0.0
ABG,GRS,3538.078
ABG,GSU,3896.898
ABG,HAR,3016.996
ABG,HAW,4084.924
ABG,HIS,3411.3669999999997
ABG,HOU,0.0
ABG,IEC,4323.780999999999
ABG,INS,0.0
ABG,IRB,3154.8300000000004
ABG,IRC,3154.8300000000004
ABG,JSC,3137.157
ABG,KCB,2899.072
ABG,KHC,2912.3140000000003
ABG,LAW,3805.0910000000003
ABG,LEV,3455.9030000000002
ABG,LNG,3483.451999999999
ABG,LSE,3207.269
ABG,MCH,3651.454
ABG,MCS,3333.536999999999
ABG,MED,228.05800000000002
ABG,MET,4789.244999999999
ABG,MOR,3098.666
ABG,MUG,3805.0910000000003
ABG,OSW,3122.072
ABG,PDP,4483.7800000000025
ABG,PHO,3607.695999999999
ABG,PLS,3411.3669999999997
ABG,PRB,3132.2490000000003
ABG,PSY,3487.6049999999996
ABG,PTH,4597.126000000003
ABG,REL,3137.157
ABG,RKC,3205.306
ABG,SAC,3939.8500000000017
ABG,SAL,4052.045000000002
ABG,SAR,3244.555
ABG,SCI,3074.7290000000003
ABG,SDM,264.305
ABG,SHA,4504.5599999999995
ABG,SLB,3207.269
ABG,SOC,3487.6049999999996
ABG,SPH,228.05800000000002
ABG,SSW,3554.599
ABG,STH,3783.3420000000006
ABG,STO,3384.5080000000003
ABG,THA,4191.369000000002
ABG,TTC,5212.833000000001
ABG,WEA,3200.4410000000007
ABG,WED,3107.355
ABG,XBG,336.288
ABG,YAW,2904.4300000000003
AGG,ALB,4886.489999999998
AGG,ASC,536.927
AGG,BAB,536.927
AGG,BCN,2004.9950000000006
AGG,BRB,1623.9210000000003
AGG,BSC,1629.7120000000004
AGG,CAS,1148.5199999999998
AGG,CDS,1302.3039999999996
AGG,CFA,439.001
AGG,CGS,381.64200000000005
AGG,CLN,306.708
AGG,CNS,1787.2110000000002
AGG,COM,1444.5920000000003
AGG,CRW,1210.992
AGG,CSE,383.39500000000004
AGG,CTC,4738.080999999999
AGG,EGL,1310.854
AGG,EIB,1632.329
AGG,EIL,383.39500000000004
AGG,EMA,1135.125
AGG,EMB,1117.692
AGG,ENG,1261.8990000000003
AGG,EOP,330.78800000000007
AGG,EPC,984.418
AGG,ERA,1442.9280000000003
AGG,ERB,1442.9280000000003
AGG,EVN,4630.369999999999
AGG,FAB,2119.9540000000006
AGG,FCB,1954.2480000000007
AGG,FCC,1925.7490000000007
AGG,FLR,745.6540000000002
AGG,FOB,1247.4830000000002
AGG,FPH,2019.6620000000007
AGG,FRC,337.3299999999999
AGG,GDP,2035.5639999999999
AGG,GDS,4705.892999999998
AGG,GMS,4630.369999999999
AGG,GRS,1118.3999999999996
AGG,GSU,939.9669999999999
AGG,HAR,1626.5399999999995
AGG,HAW,1740.0890000000002
AGG,HIS,1352.478
AGG,HOU,4630.369999999999
AGG,IEC,330.78800000000007
AGG,INS,4630.369999999999
AGG,IRB,1609.79
AGG,IRC,1609.79
AGG,JSC,1632.329
AGG,KCB,1739.8439999999996
AGG,KHC,1858.0469999999998
AGG,LAW,994.3179999999999
AGG,LEV,1302.323
AGG,LNG,1246.1920000000002
AGG,LSE,1552.1150000000002
AGG,MCH,1148.993
AGG,MCS,1304.576
AGG,MED,4780.1990000000005
AGG,MET,324.75800000000004
AGG,MOR,1558.5910000000001
AGG,MUG,994.3179999999999
